,date,problem,citationIssued,personSearch,vehicleSearch,preRace,race,gender,lat,long,policePrecinct,neighborhood
6823,2017-01-01 00:00:42,suspicious,,NO,NO,Unknown,Unknown,Unknown,44.96661711,-93.24645826,1,Cedar Riverside
6824,2017-01-01 00:03:07,suspicious,,NO,NO,Unknown,Unknown,Male,44.98045,-93.27134,1,Downtown West
6825,2017-01-01 00:23:15,traffic,,NO,NO,Unknown,White,Female,44.94835,-93.27538,5,Whittier
6826,2017-01-01 00:33:48,suspicious,,NO,NO,Unknown,East African,Male,44.94836,-93.28135,5,Whittier
6827,2017-01-01 00:37:58,traffic,,NO,NO,Unknown,White,Female,44.9790778,-93.26207579,1,Downtown West
6828,2017-01-01 00:46:48,traffic,,NO,NO,Unknown,East African,Male,44.98053512,-93.26362691,1,Downtown West
6829,2017-01-01 00:48:46,suspicious,,NO,NO,Unknown,Black,Male,44.98080828,-93.27314066,1,Downtown West
6830,2017-01-01 00:50:55,traffic,,NO,NO,Unknown,Other,Female,44.9820925,-93.23815506,2,Marcy Holmes
6831,2017-01-01 00:57:10,traffic,,NO,NO,Unknown,White,Male,44.99031863,-93.25204216,2,Nicollet Island - East Bank
6832,2017-01-01 01:05:50,traffic,,NO,NO,Unknown,Black,Male,45.01327,-93.30824,4,Folwell
6833,2017-01-01 01:09:13,suspicious,,NO,NO,White,Unknown,Male,44.9645834,-93.27658196,5,Steven's Square - Loring Heights
6835,2017-01-01 01:19:59,traffic,,NO,NO,Unknown,Black,Male,44.99871047,-93.2530799,2,St. Anthony East
6836,2017-01-01 01:22:01,traffic,,NO,NO,Unknown,Black,Male,44.97957,-93.27257,1,Downtown West
6837,2017-01-01 01:41:24,suspicious,,NO,NO,Unknown,White,Female,44.98045,-93.27134,1,Downtown West
6838,2017-01-01 01:45:09,suspicious,,NO,NO,Unknown,Unknown,Unknown,44.98078144,-93.27429567,1,Downtown West
6839,2017-01-01 01:51:02,suspicious,,NO,NO,Unknown,White,Female,44.9915,-93.30572,4,Willard - Hay
6841,2017-01-01 01:53:42,traffic,,NO,NO,Unknown,White,Male,44.99871229,-93.25183571,2,Logan Park
6842,2017-01-01 02:04:13,suspicious,,NO,NO,Black,Unknown,Male,44.94925,-93.29573,5,Lowry Hill East
6843,2017-01-01 02:09:42,traffic,,NO,NO,Unknown,White,Male,44.99827813,-93.28172579,4,Near - North
6844,2017-01-01 02:22:14,traffic,,YES,YES,Unknown,Black,Female,44.99738,-93.28799,4,Near - North
6845,2017-01-01 02:33:22,suspicious,,YES,NO,Black,Black,Male,44.98074363,-93.28959927,4,Sumner - Glenwood
6846,2017-01-01 02:36:22,traffic,,NO,NO,Unknown,White,Female,44.94836,-93.29065,5,CARAG
6847,2017-01-01 02:45:38,traffic,,NO,NO,Unknown,White,Male,44.94836,-93.28555,5,Whittier
6848,2017-01-01 02:53:15,traffic,,NO,NO,Unknown,Black,Male,44.99916,-93.29564,4,Near - North
6849,2017-01-01 03:04:40,traffic,,NO,NO,Unknown,Unknown,Unknown,44.96091,-93.28801,5,Whittier
6850,2017-01-01 03:14:37,traffic,,NO,NO,Unknown,East African,Male,44.94977,-93.3138,5,Cedar - Isles - Dean
6852,2017-01-01 03:23:42,traffic,,NO,NO,Unknown,White,Male,44.96419791,-93.27857261,5,Steven's Square - Loring Heights
6853,2017-01-01 03:26:59,suspicious,,NO,NO,Unknown,Unknown,Unknown,44.95463641,-93.28131035,5,Whittier
6854,2017-01-01 03:33:29,suspicious,,NO,NO,Black,Unknown,Unknown,45.02392802,-93.23903648,2,Audubon Park
6858,2017-01-01 04:27:38,traffic,,NO,NO,Unknown,White,Female,44.94473,-93.28814,5,Lyndale
6860,2017-01-01 05:46:55,traffic,,NO,NO,Unknown,Asian,Male,45.01266897,-93.24734147,2,Windom Park
6861,2017-01-01 06:47:07,suspicious,,NO,NO,Black,Unknown,Unknown,44.94044075,-93.27791575,5,Lyndale
6862,2017-01-01 08:31:30,traffic,,NO,NO,Unknown,White,Female,45.00482,-93.29564,4,Jordan
6863,2017-01-01 09:02:59,suspicious,,NO,NO,Black,Unknown,Male,44.97092,-93.25508,1,Downtown East
6864,2017-01-01 09:48:36,suspicious,,NO,NO,Unknown,Unknown,Unknown,44.938634,-93.24228094,3,Corcoran
6865,2017-01-01 09:51:43,suspicious,,NO,NO,Unknown,Unknown,Unknown,44.93773,-93.24058,3,Standish
6867,2017-01-01 10:41:29,suspicious,,NO,NO,Unknown,Unknown,Unknown,45.04118133,-93.29786418,4,Lind - Bohanon
6869,2017-01-01 12:43:26,suspicious,,YES,NO,Unknown,Black,Male,45.04842509,-93.29406668,4,Lind - Bohanon
6870,2017-01-01 13:02:57,traffic,,NO,NO,Unknown,White,Male,44.94660001,-93.28366611,5,Lyndale
6871,2017-01-01 13:24:55,suspicious,,NO,NO,Other,Other,Unknown,44.93769702,-93.28627059,5,King Field
6872,2017-01-01 13:34:06,suspicious,,NO,NO,Other,Other,Unknown,44.93950519,-93.29265128,5,CARAG
6873,2017-01-01 13:41:02,suspicious,,NO,NO,Other,Other,Unknown,44.94040713,-93.29200498,5,CARAG
6875,2017-01-01 14:38:12,suspicious,,NO,NO,Unknown,Unknown,Unknown,44.92955277,-93.28438902,5,King Field
6876,2017-01-01 15:36:30,suspicious,,YES,NO,Unknown,Native American,Male,44.95373,-93.25627,3,Midtown Phillips
6877,2017-01-01 15:38:36,suspicious,,NO,NO,Black,Unknown,Male,44.96772584,-93.28135089,1,Loring Park
6879,2017-01-01 16:57:17,traffic,,NO,NO,Unknown,Black,Female,44.99198,-93.29412,4,Near - North
6881,2017-01-01 17:57:04,traffic,,NO,NO,Unknown,White,Female,44.97994,-93.23441,2,Marcy Holmes
6882,2017-01-01 18:07:06,traffic,,NO,NO,White,White,Female,44.94836,-93.25505,3,Midtown Phillips
6884,2017-01-01 18:52:36,traffic,,NO,NO,Unknown,White,Male,44.99162624,-93.21137653,2,Mid - City Industrial
6885,2017-01-01 18:53:44,traffic,,NO,NO,Unknown,East African,Male,44.9564318,-93.28550353,5,Whittier
