neighborhood,population,white,black,foreignborn,hhincome,poverty,collegegrad,npov
Cedar Riverside,8247,0.353,0.464,0.408,18892,0.06,0.258,495
Phillips West,5184,0.199,0.538,0.318,18404,0.042,0.211,218
Downtown West,7141,0.561,0.211,0.203,67086,0.057,0.551,407
Downtown East,1674,0.543,0.221,0.221,70669,0.071,0.577,119
Shingle Creek,3249,0.407,0.259,0.14,59414,0.11,0.247,357
Ventura Village,6150,0.214,0.424,0.329,17469,0.048,0.173,295
Sumner - Glenwood,1676,0.087,0.656,0.292,18854,0.074,0.165,124
Lind - Bohanon,5420,0.417,0.251,0.172,43438,0.089,0.196,482
Victory,4525,0.622,0.25,0.055,57148,0.066,0.345,299
Webber - Camden,5109,0.394,0.383,0.11,37030,0.053,0.203,271
Bottineau,1573,0.615,0.217,0.17,50900,0.085,0.328,134
Howe,6816,0.789,0.095,0.051,63492,0.037,0.496,252
Bryant,3178,0.305,0.248,0.261,50964,0.114,0.254,362
Hiawatha,5780,0.836,0.046,0.056,65925,0.045,0.537,260
Windom,4876,0.718,0.091,0.107,78095,0.05,0.543,244
Ericsson,3302,0.881,0.03,0.048,78750,0.06,0.59,198
Field,2498,0.748,0.133,0.064,100598,0.044,0.655,110
Wenonah,4423,0.604,0.122,0.136,54321,0.065,0.427,287
Page,1875,0.881,0.059,0.039,114750,0.043,0.749,81
Steven's Square - Loring Heights,3897,0.624,0.196,0.133,24783,0.053,0.512,207
Minnehaha,4208,0.788,0.067,0.073,64145,0.067,0.5,282
Prospect Park - East River Road,7705,0.707,0.066,0.168,36186,0.039,0.698,300
Keewaydin,3292,0.817,0.049,0.101,83116,0.087,0.54,286
University of Minnesota,5678,0.669,0.099,0.183,20492,0.049,0.461,278
Jordan,8177,0.183,0.453,0.155,36156,0.051,0.142,417
Fulton,6138,0.902,0.029,0.04,118465,0.032,0.776,196
Hawthorne,4609,0.186,0.456,0.167,21936,0.062,0.151,286
Folwell,5023,0.285,0.403,0.116,40442,0.103,0.181,517
Willard - Hay,9074,0.215,0.516,0.141,44733,0.048,0.269,436
Lynnhurst,5934,0.889,0.024,0.045,118202,0.031,0.763,184
Bancroft,3542,0.623,0.14,0.132,57456,0.053,0.443,188
Harrison,3443,0.31,0.427,0.163,32013,0.115,0.25,396
Holland,5016,0.472,0.193,0.262,45343,0.057,0.233,286
Loring Park,8262,0.697,0.135,0.172,37438,0.06,0.623,496
Linden Hills,8097,0.845,0.054,0.089,93909,0.051,0.718,413
Diamond Lake,5620,0.754,0.063,0.092,73668,0.05,0.531,281
Standish,6815,0.703,0.061,0.089,63693,0.048,0.448,327
Cooper,3744,0.817,0.03,0.092,72774,0.069,0.614,258
Tangletown,4436,0.822,0.063,0.054,100158,0.051,0.68,226
North Loop,4681,0.747,0.15,0.151,104457,0.079,0.745,370
Hale,3150,0.896,0.031,0.029,94280,0.064,0.672,202
Seward,7436,0.536,0.355,0.299,32554,0.048,0.451,357
Longfellow,4704,0.63,0.151,0.097,49378,0.057,0.39,268
East Phillips,4661,0.153,0.28,0.385,35224,0.104,0.216,485
Lowry Hill East,6357,0.76,0.105,0.145,49868,0.066,0.569,420
