pokedex_number,base_total,hp,attack,sp_attack,defense,sp_defense,speed,type1,type2,percentage_male,ability1,ability2,ability3,weight_kg,is_legendary,generation
1,318,45,49,65,49,65,45,grass,poison,88.1,Overgrow,NA,Chlorophyll,6.9,Non-legendary,1
2,405,60,62,80,63,80,60,grass,poison,88.1,Overgrow,NA,Chlorophyll,13,Non-legendary,1
3,625,80,100,122,123,120,80,grass,poison,88.1,Overgrow,NA,Chlorophyll,100,Non-legendary,1
4,309,39,52,60,43,50,65,fire,NA,88.1,Blaze,NA,Solar Power,8.5,Non-legendary,1
5,405,58,64,80,58,65,80,fire,NA,88.1,Blaze,NA,Solar Power,19,Non-legendary,1
6,634,78,104,159,78,115,100,fire,flying,88.1,Blaze,NA,Solar Power,90.5,Non-legendary,1
7,314,44,48,50,65,64,43,water,NA,88.1,Torrent,NA,Rain Dish,9,Non-legendary,1
8,405,59,63,65,80,80,58,water,NA,88.1,Torrent,NA,Rain Dish,22.5,Non-legendary,1
9,630,79,103,135,120,115,78,water,NA,88.1,Torrent,NA,Rain Dish,85.5,Non-legendary,1
10,195,45,30,20,35,20,45,bug,NA,50,Shield Dust,NA,Run Away,2.9,Non-legendary,1
11,205,50,20,25,55,25,30,bug,NA,50,Shed Skin,NA,NA,9.9,Non-legendary,1
12,395,60,45,90,50,80,70,bug,flying,50,Compoundeyes,NA,Tinted Lens,32,Non-legendary,1
13,195,40,35,20,30,20,50,bug,poison,50,Shield Dust,NA,Run Away,3.2,Non-legendary,1
14,205,45,25,25,50,25,35,bug,poison,50,Shed Skin,NA,NA,10,Non-legendary,1
15,495,65,150,15,40,80,145,bug,poison,50,Swarm,NA,Sniper,29.5,Non-legendary,1
16,251,40,45,35,40,35,56,normal,flying,50,Keen Eye,Tangled Feet,Big Pecks,1.8,Non-legendary,1
17,349,63,60,50,55,50,71,normal,flying,50,Keen Eye,Tangled Feet,Big Pecks,30,Non-legendary,1
18,579,83,80,135,80,80,121,normal,flying,50,Keen Eye,Tangled Feet,Big Pecks,39.5,Non-legendary,1
19,253,30,56,25,35,35,72,normal,NA,50,Run Away,Guts,Hustle,NA,Non-legendary,1
20,413,75,71,40,70,80,77,normal,NA,50,Run Away,Guts,Hustle,NA,Non-legendary,1
21,262,40,60,31,30,31,70,normal,flying,50,Keen Eye,NA,Sniper,2,Non-legendary,1
22,442,65,90,61,65,61,100,normal,flying,50,Keen Eye,NA,Sniper,38,Non-legendary,1
23,288,35,60,40,44,54,55,poison,NA,50,Intimidate,Shed Skin,Unnerve,6.9,Non-legendary,1
24,448,60,95,65,69,79,80,poison,NA,50,Intimidate,Shed Skin,Unnerve,65,Non-legendary,1
25,320,35,55,50,40,50,90,electric,NA,50,Static,NA,Lightningrod,6,Non-legendary,1
26,485,60,85,95,50,85,110,electric,NA,50,Static,NA,Lightning Rod,NA,Non-legendary,1
27,300,50,75,10,90,35,40,ground,NA,50,Sand Veil,NA,Sand Rush,NA,Non-legendary,1
28,450,75,100,25,120,65,65,ground,NA,50,Sand Veil,NA,Sand Rush,NA,Non-legendary,1
29,275,55,47,40,52,40,41,poison,NA,0,Poison Point,Rivalry,Hustle,7,Non-legendary,1
30,365,70,62,55,67,55,56,poison,NA,0,Poison Point,Rivalry,Hustle,20,Non-legendary,1
31,505,90,92,75,87,85,76,poison,ground,0,Poison Point,Rivalry,Sheer Force,60,Non-legendary,1
32,273,46,57,40,40,40,50,poison,NA,100,Poison Point,Rivalry,Hustle,9,Non-legendary,1
