College_jobs,Median
1534,110000
350,75000
456,73000
529,70000
18314,65000
1142,65000
1768,62000
972,62000
23694,60000
8184,60000
6439,60000
2626,60000
2439,58000
3603,57100
8306,57000
26898,56000
1665,54000
402,54000
1183,53000
5126,52000
1911,52000
6342,51000
28526,50000
3275,50000
1466,50000
3445,50000
1550,50000
2028,50000
1017,50000
693,50000
501,50000
24243,47000
25582,47000
1578,46000
1394,46000
162,46000
11417,45000
13344,45000
18674,45000
5546,45000
4390,45000
2298,45000
2437,45000
603,45000
459,44700
482,44000
2091,42000
452,42000
2024,41300
1369,41000
509,41000
6774,40100
29334,40000
16178,40000
3383,40000
11573,40000
7225,40000
2236,40000
1925,40000
2418,40000
2446,40000
1861,40000
1675,40000
744,40000
801,40000
559,40000
535,40000
530,40000
0,40000
221,38400
25320,38000
5350,38000
5577,38000
2354,37500
15654,37400
677,37000
2593,36400
4858,36200
2406,36000
2002,36000
5652,36000
919,36000
784,36000
434,36000
8149,35600
24348,35000
23279,35000
17923,35000
9659,35000
8465,35000
20185,35000
6587,35000
3373,35000
6535,35000
2589,35000
4545,35000
4575,35000
4333,35000
5605,35000
5176,35000
1808,35000
1096,35000
355,35000
15051,34000
4956,34000
10928,34000
5225,34000
10699,34000
346,34000
3051,33500
4253,33500
29051,33000
12855,33000
22215,33000
2325,33000
17985,33000
4122,33000
5284,33000
2630,33000
2856,33000
10304,32500
9364,32400
14444,32200
20821,32100
27581,32000
18565,32000
7368,32000
3602,32000
2089,32000
4214,32000
13752,31000
12777,31000
5139,31000
20792,30500
20985,30000
27449,30000
5443,30000
3849,30000
10766,30000
2960,30000
2878,30000
1168,30000
9927,29000
3948,29000
563,29000
483,29000
9805,28000
19957,28000
23515,28000
2326,27500
6994,27000
4855,27000
2771,26000
1488,25000
986,25000
2403,23400
288,22000
52844,60000
45829,60000
68622,53000
151643,48000
34800,45000
30382,39000
36720,38000
36854,38000
40763,35000
37389,35000
82007,34000
35336,34000
88232,33400
57690,32000
108085,32000
125148,31500
52844,60000
45829,60000
68622,53000
151643,48000
34800,45000
30382,39000
36720,38000
36854,38000
40763,35000
37389,35000
82007,34000
35336,34000
88232,33400
57690,32000
108085,32000
125148,31500
52844,60000
45829,60000
68622,53000
151643,48000
34800,45000
30382,39000
36720,38000
36854,38000
40763,35000
37389,35000
82007,34000
35336,34000
88232,33400
57690,32000
108085,32000
125148,31500
52844,60000
45829,60000
68622,53000
151643,48000
34800,45000
30382,39000
36720,38000
36854,38000
40763,35000
37389,35000
82007,34000
35336,34000
88232,33400
57690,32000
108085,32000
125148,31500
52844,60000
45829,60000
68622,53000
151643,48000
34800,45000
30382,39000
36720,38000
36854,38000
40763,35000
37389,35000
82007,34000
35336,34000
88232,33400
57690,32000
108085,32000
125148,31500
52844,60000
45829,60000
68622,53000
151643,48000
34800,45000
30382,39000
36720,38000
36854,38000
40763,35000
37389,35000
82007,34000
35336,34000
88232,33400
57690,32000
108085,32000
125148,31500
52844,60000
45829,60000
68622,53000
151643,48000
34800,45000
30382,39000
36720,38000
36854,38000
40763,35000
37389,35000
82007,34000
35336,34000
88232,33400
57690,32000
108085,32000
125148,31500
52844,60000
45829,60000
68622,53000
151643,48000
34800,45000
30382,39000
36720,38000
36854,38000
40763,35000
37389,35000
82007,34000
35336,34000
88232,33400
57690,32000
108085,32000
125148,31500
52844,60000
45829,60000
68622,53000
151643,48000
34800,45000
30382,39000
36720,38000
36854,38000
40763,35000
37389,35000
82007,34000
35336,34000
88232,33400
57690,32000
108085,32000
125148,31500
52844,60000
45829,60000
68622,53000
151643,48000
34800,45000
30382,39000
36720,38000
36854,38000
40763,35000
37389,35000
82007,34000
35336,34000
88232,33400
57690,32000
108085,32000
125148,31500
