Non_college_jobs,Low_wage_jobs
364,193
257,50
176,0
102,0
4440,972
657,244
314,259
500,220
5721,980
2425,372
2471,789
391,81
947,263
1595,524
3235,640
11734,3192
649,137
528,144
1274,485
2686,696
305,70
5741,708
9356,2899
5351,703
3629,285
2426,365
1871,340
830,260
1269,142
1714,755
50,49
48447,9910
37057,10653
4612,1284
2454,480
1475,124
39323,10886
11783,1672
4576,1823
7176,1002
4102,608
1200,343
803,357
478,93
996,186
844,245
6948,1270
67,25
1033,263
921,135
221,0
9570,2499
100831,27320
13724,4221
9482,3046
4493,1121
3145,1168
8937,1758
6221,1362
4717,839
3896,386
2121,406
678,201
1654,573
1591,302
1224,272
893,94
465,269
0,0
1659,81
93889,27968
6830,1905
3174,1246
3244,308
8394,3012
184,56
2941,352
2792,959
9629,1906
6454,1336
3835,1422
2313,496
591,221
593,37
10076,3175
88858,18404
26672,8512
22039,5751
23059,7214
11818,3677
3797,1179
6894,2237
10605,1895
5473,2449
8592,1391
8794,2495
6147,557
5808,1405
2301,902
3903,1061
1317,237
1692,327
144,0
18193,5267
10343,3168
5561,1806
7385,1854
1977,786
206,111
3539,1159
2722,459
48899,13748
25297,6429
14616,4468
23341,9063
6824,2819
5695,2085
2438,657
3906,1470
4159,976
3967,1385
12889,3816
20313,8051
8260,2767
63946,16838
28558,9030
20721,5862
4778,1634
3545,1231
1106,591
28786,9286
9328,2042
9738,3426
32725,11880
20133,5248
14416,4344
9571,2125
7635,2840
1949,722
3948,1650
4595,724
3354,1141
12037,3304
8707,3586
7384,3163
626,31
16693,6866
9404,5125
7705,2868
3703,1115
25313,11068
8100,3466
2947,743
615,82
870,622
1245,308
338,192
16384,3253
10874,3170
25667,5144
26146,6193
14829,4569
14718,4288
148395,32395
66947,19803
97964,27440
38119,14839
31112,11443
54569,16839
81109,28339
71827,26503
36972,11502
141860,48207
16384,3253
10874,3170
25667,5144
26146,6193
14829,4569
14718,4288
148395,32395
66947,19803
97964,27440
38119,14839
31112,11443
54569,16839
81109,28339
71827,26503
36972,11502
141860,48207
16384,3253
10874,3170
25667,5144
26146,6193
14829,4569
14718,4288
148395,32395
66947,19803
97964,27440
38119,14839
31112,11443
54569,16839
81109,28339
71827,26503
36972,11502
141860,48207
16384,3253
10874,3170
25667,5144
26146,6193
14829,4569
14718,4288
148395,32395
66947,19803
97964,27440
38119,14839
31112,11443
54569,16839
81109,28339
71827,26503
36972,11502
141860,48207
16384,3253
10874,3170
25667,5144
26146,6193
14829,4569
14718,4288
148395,32395
66947,19803
97964,27440
38119,14839
31112,11443
54569,16839
81109,28339
71827,26503
36972,11502
141860,48207
16384,3253
10874,3170
25667,5144
26146,6193
14829,4569
14718,4288
148395,32395
66947,19803
97964,27440
38119,14839
31112,11443
54569,16839
81109,28339
71827,26503
36972,11502
141860,48207
16384,3253
10874,3170
25667,5144
26146,6193
14829,4569
14718,4288
148395,32395
66947,19803
97964,27440
38119,14839
31112,11443
54569,16839
81109,28339
71827,26503
36972,11502
141860,48207
16384,3253
10874,3170
25667,5144
26146,6193
14829,4569
14718,4288
148395,32395
66947,19803
97964,27440
38119,14839
31112,11443
54569,16839
81109,28339
71827,26503
36972,11502
141860,48207
16384,3253
10874,3170
25667,5144
26146,6193
14829,4569
14718,4288
148395,32395
66947,19803
97964,27440
38119,14839
31112,11443
54569,16839
81109,28339
71827,26503
36972,11502
141860,48207
16384,3253
10874,3170
25667,5144
26146,6193
14829,4569
14718,4288
148395,32395
66947,19803
97964,27440
38119,14839
31112,11443
54569,16839
81109,28339
71827,26503
36972,11502
141860,48207
