"","Major_category","women_bin","total_bin"
"1","Engineering","(-307,1.02e+05]","(-270,1.31e+05]"
"2","Engineering","(-307,1.02e+05]","(-270,1.31e+05]"
"3","Engineering","(-307,1.02e+05]","(-270,1.31e+05]"
"4","Engineering","(-307,1.02e+05]","(-270,1.31e+05]"
"5","Engineering","(-307,1.02e+05]","(-270,1.31e+05]"
"6","Engineering","(-307,1.02e+05]","(-270,1.31e+05]"
"7","Business","(-307,1.02e+05]","(-270,1.31e+05]"
"8","Physical Sciences","(-307,1.02e+05]","(-270,1.31e+05]"
"9","Engineering","(-307,1.02e+05]","(-270,1.31e+05]"
"10","Engineering","(-307,1.02e+05]","(-270,1.31e+05]"
"11","Engineering","(-307,1.02e+05]","(-270,1.31e+05]"
"12","Engineering","(-307,1.02e+05]","(-270,1.31e+05]"
"13","Engineering","(-307,1.02e+05]","(-270,1.31e+05]"
"14","Engineering","(-307,1.02e+05]","(-270,1.31e+05]"
"15","Engineering","(-307,1.02e+05]","(-270,1.31e+05]"
"16","Engineering","(-307,1.02e+05]","(-270,1.31e+05]"
"17","Engineering","(-307,1.02e+05]","(-270,1.31e+05]"
"18","Engineering","(-307,1.02e+05]","(-270,1.31e+05]"
"19","Engineering","(-307,1.02e+05]","(-270,1.31e+05]"
"20","Law & Public Policy","(-307,1.02e+05]","(-270,1.31e+05]"
"21","Computers & Mathematics","(-307,1.02e+05]","(-270,1.31e+05]"
"22","Agriculture & Natural Resources","(-307,1.02e+05]","(-270,1.31e+05]"
"23","Engineering","(-307,1.02e+05]","(-270,1.31e+05]"
"24","Engineering","(-307,1.02e+05]","(-270,1.31e+05]"
"25","Business","(-307,1.02e+05]","(-270,1.31e+05]"
"26","Engineering","(-307,1.02e+05]","(-270,1.31e+05]"
"27","Industrial Arts & Consumer Services","(-307,1.02e+05]","(-270,1.31e+05]"
"28","Business","(-307,1.02e+05]","(-270,1.31e+05]"
"29","Engineering","(-307,1.02e+05]","(-270,1.31e+05]"
"30","Law & Public Policy","(-307,1.02e+05]","(-270,1.31e+05]"
"31","Engineering","(-307,1.02e+05]","(-270,1.31e+05]"
"32","Engineering","(-307,1.02e+05]","(-270,1.31e+05]"
"33","Arts","(-307,1.02e+05]","(-270,1.31e+05]"
"34","Engineering","(-307,1.02e+05]","(-270,1.31e+05]"
"35","Health","(1.02e+05,2.05e+05]","(1.31e+05,2.63e+05]"
"36","Business","(-307,1.02e+05]","(1.31e+05,2.63e+05]"
"37","Social Science","(-307,1.02e+05]","(1.31e+05,2.63e+05]"
"38","Business","(-307,1.02e+05]","(-270,1.31e+05]"
"39","Engineering","(-307,1.02e+05]","(-270,1.31e+05]"
"40","Physical Sciences","(-307,1.02e+05]","(-270,1.31e+05]"
"41","Business","(-307,1.02e+05]","(1.31e+05,2.63e+05]"
"42","Computers & Mathematics","(-307,1.02e+05]","(-270,1.31e+05]"
"43","Computers & Mathematics","(-307,1.02e+05]","(-270,1.31e+05]"
"44","Physical Sciences","(-307,1.02e+05]","(-270,1.31e+05]"
"45","Health","(-307,1.02e+05]","(-270,1.31e+05]"
"46","Computers & Mathematics","(-307,1.02e+05]","(-270,1.31e+05]"
"47","Computers & Mathematics","(-307,1.02e+05]","(-270,1.31e+05]"
"48","Computers & Mathematics","(-307,1.02e+05]","(-270,1.31e+05]"
"49","Biology & Life Science","(1.02e+05,2.05e+05]","(-270,1.31e+05]"
"50","Physical Sciences","(-307,1.02e+05]","(-270,1.31e+05]"
"51","Engineering","(-307,1.02e+05]","(-270,1.31e+05]"
"52","Health","(-307,1.02e+05]","(-270,1.31e+05]"
"53","Computers & Mathematics","(-307,1.02e+05]","(-270,1.31e+05]"
"54","Computers & Mathematics","(-307,1.02e+05]","(-270,1.31e+05]"
