"","Major_category","col_bin","median_bin","low_bin"
"1","Engineering","(0.601,0.676]","(1.01e+05,1.1e+05]","(0.0602,0.0903]"
"2","Engineering","(0.451,0.526]","(7.48e+04,8.36e+04]","(0.0602,0.0903]"
"3","Engineering","(0.526,0.601]","(6.6e+04,7.48e+04]","(-0.000301,0.0301]"
"4","Engineering","(0.376,0.451]","(6.6e+04,7.48e+04]","(-0.000301,0.0301]"
"5","Engineering","(0.526,0.601]","(5.72e+04,6.6e+04]","(0.0301,0.0602]"
"6","Engineering","(0.376,0.451]","(5.72e+04,6.6e+04]","(0.0903,0.12]"
"7","Business","(0.451,0.526]","(5.72e+04,6.6e+04]","(0.0602,0.0903]"
"8","Physical Sciences","(0.526,0.601]","(5.72e+04,6.6e+04]","(0.12,0.15]"
"9","Engineering","(0.526,0.601]","(5.72e+04,6.6e+04]","(0.0301,0.0602]"
"10","Engineering","(0.526,0.601]","(5.72e+04,6.6e+04]","(0.0301,0.0602]"
"11","Engineering","(0.526,0.601]","(5.72e+04,6.6e+04]","(-0.000301,0.0301]"
"12","Engineering","(0.526,0.601]","(5.72e+04,6.6e+04]","(-0.000301,0.0301]"
"13","Engineering","(0.376,0.451]","(5.72e+04,6.6e+04]","(0.0301,0.0602]"
"14","Engineering","(0.601,0.676]","(5.72e+04,6.6e+04]","(-0.000301,0.0301]"
"15","Engineering","(0.526,0.601]","(5.72e+04,6.6e+04]","(0.0602,0.0903]"
"16","Engineering","(0.376,0.451]","(4.84e+04,5.72e+04]","(0.0301,0.0602]"
"17","Engineering","(0.376,0.451]","(4.84e+04,5.72e+04]","(0.0301,0.0602]"
"18","Engineering","(0.376,0.451]","(4.84e+04,5.72e+04]","(0.0301,0.0602]"
"19","Engineering","(0.526,0.601]","(4.84e+04,5.72e+04]","(0.0301,0.0602]"
"20","Law & Public Policy","(0.301,0.376]","(4.84e+04,5.72e+04]","(0.12,0.15]"
"21","Computers & Mathematics","(0.526,0.601]","(4.84e+04,5.72e+04]","(0.0301,0.0602]"
"22","Agriculture & Natural Resources","(0.225,0.301]","(4.84e+04,5.72e+04]","(0.0903,0.12]"
"23","Engineering","(0.376,0.451]","(4.84e+04,5.72e+04]","(0.0301,0.0602]"
"24","Engineering","(0.601,0.676]","(4.84e+04,5.72e+04]","(-0.000301,0.0301]"
"25","Business","(0.301,0.376]","(4.84e+04,5.72e+04]","(0.0301,0.0602]"
"26","Engineering","(0.526,0.601]","(4.84e+04,5.72e+04]","(0.0301,0.0602]"
"27","Industrial Arts & Consumer Services","(0.15,0.225]","(4.84e+04,5.72e+04]","(0.0301,0.0602]"
"28","Business","(0.0751,0.15]","(4.84e+04,5.72e+04]","(-0.000301,0.0301]"
"29","Engineering","(0.376,0.451]","(4.84e+04,5.72e+04]","(0.0301,0.0602]"
"30","Law & Public Policy","(0.225,0.301]","(4.84e+04,5.72e+04]","(0.0301,0.0602]"
"31","Engineering","(0.451,0.526]","(4.84e+04,5.72e+04]","(0.0602,0.0903]"
"32","Engineering","(0.225,0.301]","(4.84e+04,5.72e+04]","(0.0301,0.0602]"
"33","Arts","(0.15,0.225]","(4.84e+04,5.72e+04]","(0.211,0.241]"
"34","Engineering","(0.676,0.752]","(4.84e+04,5.72e+04]","(0.0602,0.0903]"
"35","Health","(0.676,0.752]","(3.96e+04,4.84e+04]","(-0.000301,0.0301]"
"36","Business","(0.0751,0.15]","(3.96e+04,4.84e+04]","(0.0301,0.0602]"
"37","Social Science","(0.15,0.225]","(3.96e+04,4.84e+04]","(0.0602,0.0903]"
"38","Business","(0.0751,0.15]","(3.96e+04,4.84e+04]","(0.0903,0.12]"
"39","Engineering","(0.301,0.376]","(3.96e+04,4.84e+04]","(0.0903,0.12]"
"40","Physical Sciences","(0.0751,0.15]","(3.96e+04,4.84e+04]","(0.0301,0.0602]"
"41","Business","(-0.000751,0.0751]","(3.96e+04,4.84e+04]","(0.0301,0.0602]"
"42","Computers & Mathematics","(0.451,0.526]","(3.96e+04,4.84e+04]","(0.0602,0.0903]"
"43","Computers & Mathematics","(0.301,0.376]","(3.96e+04,4.84e+04]","(0.0301,0.0602]"
"44","Physical Sciences","(0.526,0.601]","(3.96e+04,4.84e+04]","(0.0301,0.0602]"
"45","Health","(0.301,0.376]","(3.96e+04,4.84e+04]","(0.0602,0.0903]"
