Major,Major_category,"(370,2.76e+04]_College_jobs","(5.48e+04,8.21e+04]_College_jobs","(2.76e+04,5.48e+04]_College_jobs","(-33.8,3.37e+04]_Non_college_jobs","(6.72e+04,1.01e+05]_Non_college_jobs","(3.37e+04,6.72e+04]_Non_college_jobs","(3.05e+04,4.1e+04]_Median","(4.1e+04,5.15e+04]_Median","(5.15e+04,6.2e+04]_Median","(375,7.86e+04]_Total","(7.86e+04,1.57e+05]_Total","(1.57e+05,2.35e+05]_Total"
MULTI-DISCIPLINARY OR GENERAL SCIENCE,Physical Sciences,1,0,0,1,0,0,1,0,0,1,0,0
STATISTICS AND DECISION SCIENCE,Computers & Mathematics,1,0,0,1,0,0,0,1,0,1,0,0
COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics,1,0,0,1,0,0,0,1,0,1,0,0
MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,Business,1,0,0,1,0,0,1,0,0,1,0,0
CRIMINOLOGY,Social Science,1,0,0,1,0,0,1,0,0,1,0,0
PHILOSOPHY AND RELIGIOUS STUDIES,Humanities & Liberal Arts,1,0,0,1,0,0,1,0,0,1,0,0
ASTRONOMY AND ASTROPHYSICS,Physical Sciences,1,0,0,1,0,0,0,0,1,1,0,0
FOOD SCIENCE,Agriculture & Natural Resources,1,0,0,1,0,0,0,0,1,1,0,0
FINE ARTS,Arts,1,0,0,1,0,0,1,0,0,1,0,0
MATHEMATICS AND COMPUTER SCIENCE,Computers & Mathematics,1,0,0,1,0,0,0,1,0,1,0,0
GENERAL EDUCATION,Education,0,1,0,1,0,0,1,0,0,0,1,0
GENERAL BUSINESS,Business,0,0,1,0,1,0,1,0,0,0,0,1
COMMUNICATION TECHNOLOGIES,Computers & Mathematics,1,0,0,1,0,0,1,0,0,1,0,0
ART HISTORY AND CRITICISM,Humanities & Liberal Arts,1,0,0,1,0,0,1,0,0,1,0,0
ACCOUNTING,Business,1,0,0,0,0,1,0,1,0,0,0,1
MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering,1,0,0,1,0,0,0,0,1,1,0,0
INTERDISCIPLINARY SOCIAL SCIENCES,Social Science,1,0,0,1,0,0,1,0,0,1,0,0
PUBLIC ADMINISTRATION,Law & Public Policy,1,0,0,1,0,0,1,0,0,1,0,0
PHYSICAL AND HEALTH EDUCATION TEACHING,Education,1,0,0,1,0,0,1,0,0,1,0,0
GENETICS,Biology & Life Science,1,0,0,1,0,0,1,0,0,1,0,0
