Rank,Major,Major_category,Total,Sample_size,Men,Women,ShareWomen,Full_time_year_round,Median,P25th,P75th,College_jobs,Non_college_jobs,Low_wage_jobs,College_jobs_binned,Non_college_jobs_binned,Median_binned,Total_binned,Sample_size_binned,Men_binned,Women_binned,ShareWomen_binned,Full_time_year_round_binned,P25th_binned,P75th_binned,Low_wage_jobs_binned
1,PETROLEUM ENGINEERING,Engineering,2339,36,2057,282,0.120564344,1207,110000,95000,125000,1534,364,193,"[ 1369,  2089)","[    0,   528)","[57000,110000]","[  2116,  3635)","[  32,  53)","[ 1837,  2734)","[    0,   703)","[0.000,0.199)","[ 1115,  1752)","[41000,95000]","[72000,125000]","[  124,  269)"
2,MINING AND MINERAL ENGINEERING,Engineering,756,7,679,77,0.101851852,388,75000,55000,90000,350,257,50,"[    0,   535)","[    0,   528)","[57000,110000]","[   124,  2116)","[   2,  16)","[  119,   809)","[    0,   703)","[0.000,0.199)","[  111,  1115)","[41000,95000]","[72000,125000]","[    0,  124)"
3,METALLURGICAL ENGINEERING,Engineering,856,3,725,131,0.153037383,340,73000,50000,105000,456,176,0,"[    0,   535)","[    0,   528)","[57000,110000]","[   124,  2116)","[   2,  16)","[  119,   809)","[    0,   703)","[0.000,0.199)","[  111,  1115)","[41000,95000]","[72000,125000]","[    0,  124)"
4,NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering,1258,16,1123,135,0.107313196,692,70000,43000,80000,529,102,0,"[    0,   535)","[    0,   528)","[57000,110000]","[   124,  2116)","[  16,  32)","[  809,  1837)","[    0,   703)","[0.000,0.199)","[  111,  1115)","[41000,95000]","[72000,125000]","[    0,  124)"
5,CHEMICAL ENGINEERING,Engineering,32260,289,21239,11021,0.341630502,16697,65000,50000,75000,18314,4440,972,"[10928, 20185)","[ 3539,  4612)","[57000,110000]","[ 32260, 53162)","[ 264, 425)","[12835, 23080)","[ 8489, 11797)","[0.305,0.377)","[14460, 26906)","[41000,95000]","[72000,125000]","[  786, 1246)"
6,NUCLEAR ENGINEERING,Engineering,2573,17,2200,373,0.144966965,1449,65000,50000,102000,1142,657,244,"[  535,  1369)","[  528,  1106)","[57000,110000]","[  2116,  3635)","[  16,  32)","[ 1837,  2734)","[    0,   703)","[0.000,0.199)","[ 1115,  1752)","[41000,95000]","[72000,125000]","[  124,  269)"
7,ACTUARIAL SCIENCE,Business,3777,51,832,960,0.535714286,2482,62000,53000,72000,1768,314,259,"[ 1369,  2089)","[    0,   528)","[57000,110000]","[  3635,  6652)","[  32,  53)","[  809,  1837)","[  703,  1385)","[0.470,0.543)","[ 1752,  3242)","[41000,95000]","[72000,125000]","[  124,  269)"
8,ASTRONOMY AND ASTROPHYSICS,Physical Sciences,1792,10,2110,1667,0.441355573,827,62000,31500,109000,972,500,220,"[  535,  1369)","[    0,   528)","[57000,110000]","[   124,  2116)","[   2,  16)","[ 1837,  2734)","[ 1385,  2332)","[0.377,0.470)","[  111,  1115)","[31200,36000)","[72000,125000]","[  124,  269)"
9,MECHANICAL ENGINEERING,Engineering,91227,1029,12953,2105,0.139792801,54639,60000,48000,70000,52844,16384,3253,"[29334,151643]","[ 9629, 16693)","[57000,110000]","[ 53162,128319)","[ 425,1058)","[12835, 23080)","[ 1385,  2332)","[0.000,0.199)","[26906, 59218)","[41000,95000]","[62000, 72000)","[ 3168, 5144)"
10,ELECTRICAL ENGINEERING,Engineering,81527,631,8407,6548,0.437846874,41413,60000,45000,72000,45829,10874,3170,"[29334,151643]","[ 9629, 16693)","[57000,110000]","[ 53162,128319)","[ 425,1058)","[ 5521,  8422)","[ 5276,  8489)","[0.377,0.470)","[26906, 59218)","[41000,95000]","[72000,125000]","[ 3168, 5144)"
11,COMPUTER ENGINEERING,Engineering,41542,399,33258,8284,0.199412643,23621,60000,45000,75000,23694,5721,980,"[20185, 29334)","[ 4612,  7176)","[57000,110000]","[ 32260, 53162)","[ 264, 425)","[23080, 58227)","[ 5276,  8489)","[0.199,0.305)","[14460, 26906)","[41000,95000]","[72000,125000]","[  786, 1246)"
12,AEROSPACE ENGINEERING,Engineering,15058,147,65511,16016,0.196450256,8790,60000,42000,70000,8184,2425,372,"[ 6439, 10928)","[ 2121,  3539)","[57000,110000]","[ 11204, 15150)","[ 132, 190)","[58227,173809]","[11797, 16346)","[0.000,0.199)","[ 7460,  9965)","[41000,95000]","[62000, 72000)","[  269,  480)"
13,BIOMEDICAL ENGINEERING,Engineering,14955,79,80320,10907,0.119558903,5986,60000,36000,70000,6439,2471,789,"[ 6439, 10928)","[ 2121,  3539)","[57000,110000]","[ 11204, 15150)","[  53,  92)","[58227,173809]","[ 8489, 11797)","[0.000,0.199)","[ 5482,  7460)","[36000,41000)","[62000, 72000)","[  786, 1246)"
14,MATERIALS SCIENCE,Engineering,4279,22,2949,1330,0.310820285,1967,60000,39000,65000,2626,391,81,"[ 2089,  2856)","[    0,   528)","[57000,110000]","[  3635,  6652)","[  16,  32)","[ 2734,  3916)","[  703,  1385)","[0.305,0.377)","[ 1752,  3242)","[36000,41000)","[62000, 72000)","[    0,  124)"
15,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering,4321,30,3526,795,0.183985189,2004,58000,25000,74000,2439,947,263,"[ 2089,  2856)","[  528,  1106)","[57000,110000]","[  3635,  6652)","[  16,  32)","[ 2734,  3916)","[  703,  1385)","[0.000,0.199)","[ 1752,  3242)","[24500,26000)","[72000,125000]","[  124,  269)"
16,BIOLOGICAL ENGINEERING,Engineering,8925,55,6062,2863,0.320784314,3413,57100,40000,76000,3603,1595,524,"[ 2856,  4545)","[ 1106,  2121)","[57000,110000]","[  6652, 11204)","[  53,  92)","[ 5521,  8422)","[ 2332,  5276)","[0.305,0.377)","[ 3242,  5482)","[36000,41000)","[72000,125000]","[  480,  786)"
17,INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering,18968,183,12453,6515,0.343473218,11326,57000,37900,67000,8306,3235,640,"[ 6439, 10928)","[ 2121,  3539)","[57000,110000]","[ 15150, 19735)","[ 132, 190)","[ 8422, 12835)","[ 5276,  8489)","[0.305,0.377)","[ 9965, 14460)","[36000,41000)","[62000, 72000)","[  480,  786)"
18,GENERAL ENGINEERING,Engineering,61152,425,45683,15469,0.252959838,33540,56000,36000,69000,26898,11734,3192,"[20185, 29334)","[ 9629, 16693)","[50000, 57000)","[ 53162,128319)","[ 425,1058)","[23080, 58227)","[11797, 16346)","[0.199,0.305)","[26906, 59218)","[36000,41000)","[62000, 72000)","[ 3168, 5144)"
19,ARCHITECTURAL ENGINEERING,Engineering,2825,26,1835,990,0.350442478,1848,54000,38000,65000,1665,649,137,"[ 1369,  2089)","[  528,  1106)","[50000, 57000)","[  2116,  3635)","[  16,  32)","[  809,  1837)","[  703,  1385)","[0.305,0.377)","[ 1752,  3242)","[36000,41000)","[62000, 72000)","[  124,  269)"
20,COURT REPORTING,Law & Public Policy,1148,14,877,271,0.236062718,808,54000,50000,54000,402,528,144,"[    0,   535)","[  528,  1106)","[50000, 57000)","[   124,  2116)","[   2,  16)","[  809,  1837)","[    0,   703)","[0.199,0.305)","[  111,  1115)","[41000,95000]","[51000, 56000)","[  124,  269)"
21,COMPUTER SCIENCE,Computers & Mathematics,128319,1196,1837,2524,0.578766338,70932,53000,39000,70000,68622,25667,5144,"[29334,151643]","[16693, 36972)","[50000, 57000)","[128319,393735]","[1058,4212]","[ 1837,  2734)","[ 2332,  5276)","[0.543,0.616)","[59218,199897]","[36000,41000)","[62000, 72000)","[ 5144,11068)"
22,FOOD SCIENCE,Agriculture & Natural Resources,4361,36,99743,28576,0.222695002,1735,53000,32000,70000,1183,1274,485,"[  535,  1369)","[ 1106,  2121)","[50000, 57000)","[  3635,  6652)","[  32,  53)","[58227,173809]","[16346, 28809)","[0.199,0.305)","[ 1115,  1752)","[31200,36000)","[62000, 72000)","[  480,  786)"
