Rank,Major,Major_category,Total,Sample_size,Men,Women,ShareWomen,Full_time_year_round,Median,P25th,P75th,College_jobs,Non_college_jobs,Low_wage_jobs
164,COMMUNICATION DISORDERS SCIENCES AND SERVICES,Health,38279,95,11376,27468,0.707136237,14460,28000,20000,40000,19957,9404,5125
165,EARLY CHILDHOOD EDUCATION,Education,37589,342,1225,37054,0.967998119,20748,28000,21000,35000,23515,7705,2868
166,OTHER FOREIGN LANGUAGES,Humanities & Liberal Arts,11204,56,3472,7732,0.690110675,3214,27500,22900,38000,2326,3703,1115
167,DRAMA AND THEATER ARTS,Arts,43249,357,7022,11931,0.629504564,16891,27000,19200,35000,6994,25313,11068
168,COMPOSITION AND RHETORIC,Humanities & Liberal Arts,18953,151,14440,28809,0.666119448,7832,27000,20000,35000,4855,8100,3466
169,ZOOLOGY,Biology & Life Science,8409,47,3050,5359,0.637293376,3602,26000,20000,39000,2771,2947,743
170,EDUCATIONAL PSYCHOLOGY,Psychology & Social Work,2854,7,522,2332,0.817098809,1211,25000,24000,34000,1488,615,82
171,CLINICAL PSYCHOLOGY,Psychology & Social Work,2838,13,568,2270,0.799859056,1293,25000,25000,40000,986,870,622
172,COUNSELING PSYCHOLOGY,Psychology & Social Work,4626,21,931,3695,0.798746217,2738,23400,19200,26000,2403,1245,308
173,LIBRARY SCIENCE,Education,1098,2,134,964,0.877959927,410,22000,20000,22000,288,338,192
