"","Flowers","Time","Intens"
"1",62.2999992370605,"Late",150
"2",77.4000015258789,"Late",150
"3",55.2999992370605,"Late",300
"4",54.2000007629395,"Late",300
"5",49.5999984741211,"Late",450
"6",61.9000015258789,"Late",450
"7",39.4000015258789,"Late",600
"8",45.7000007629395,"Late",600
"9",31.2999992370605,"Late",750
"10",44.9000015258789,"Late",750
"11",36.7999992370605,"Late",900
"12",41.9000015258789,"Late",900
"13",77.8000030517578,"Early",150
"14",75.5999984741211,"Early",150
"15",69.0999984741211,"Early",300
"16",78,"Early",300
"17",57,"Early",450
"18",71.0999984741211,"Early",450
"19",62.9000015258789,"Early",600
"20",52.2000007629395,"Early",600
"21",60.2999992370605,"Early",750
"22",45.5999984741211,"Early",750
"23",52.5999984741211,"Early",900
"24",44.4000015258789,"Early",900
