ID,stars,column,row,Systematic
1,14,c0,R9,1
2,9,c0,R8,2
3,10,c0,R7,3
4,8,c0,R6,4
5,31,c0,R5,5
6,25,c0,R4,6
7,6,c0,R3,7
8,18,c0,R2,8
9,52,c0,R1,9
10,8,c0,R0,10
11,14,c1,R9,11
12,34,c1,R8,12
13,21,c1,R7,13
14,7,c1,R6,14
15,25,c1,R5,15
16,9,c1,R4,16
17,10,c1,R3,17
18,49,c1,R2,18
19,43,c1,R1,19
20,5,c1,R0,20
21,13,c2,R9,1
22,62,c2,R8,2
23,38,c2,R7,3
24,10,c2,R6,4
25,8,c2,R5,5
26,17,c2,R4,6
27,18,c2,R3,7
28,21,c2,R2,8
29,21,c2,R1,9
30,14,c2,R0,10
31,15,c3,R9,11
32,29,c3,R8,12
33,9,c3,R7,13
34,11,c3,R6,14
35,25,c3,R5,15
36,65,c3,R4,16
37,30,c3,R3,17
38,7,c3,R2,18
39,12,c3,R1,19
40,42,c3,R0,20
41,10,c4,R9,1
42,32,c4,R8,2
43,13,c4,R7,3
44,17,c4,R6,4
45,35,c4,R5,5
46,13,c4,R4,6
47,25,c4,R3,7
48,6,c4,R2,8
49,23,c4,R1,9
50,50,c4,R0,10
51,9,c5,R9,11
52,17,c5,R8,12
53,10,c5,R7,13
54,25,c5,R6,14
55,31,c5,R5,15
56,12,c5,R4,16
57,8,c5,R3,17
58,8,c5,R2,18
59,26,c5,R1,19
60,37,c5,R0,20
61,9,c6,R9,1
62,10,c6,R8,2
63,6,c6,R7,3
64,34,c6,R6,4
65,37,c6,R5,5
66,8,c6,R4,6
67,7,c6,R3,7
68,7,c6,R2,8
69,7,c6,R1,9
70,30,c6,R0,10
71,9,c7,R9,11
72,11,c7,R8,12
73,12,c7,R7,13
74,55,c7,R6,14
75,11,c7,R5,15
76,9,c7,R4,16
77,7,c7,R3,17
78,9,c7,R2,18
79,15,c7,R1,19
80,8,c7,R0,20
81,8,c8,R9,1
82,13,c8,R8,2
83,12,c8,R7,3
84,18,c8,R6,4
85,33,c8,R5,5
86,35,c8,R4,6
87,14,c8,R3,7
88,23,c8,R2,8
89,38,c8,R1,9
90,8,c8,R0,10
91,8,c9,R9,11
92,9,c9,R8,12
93,8,c9,R7,13
94,7,c9,R6,14
95,14,c9,R5,15
96,65,c9,R4,16
97,42,c9,R3,17
98,12,c9,R2,18
99,11,c9,R1,19
100,9,c9,R0,20
